order_id,expected_delivery_date
1,2024-07-05 17:20:54.155528
2,2024-07-06 17:20:54.155528
3,2024-07-04 17:20:54.155528
4,2024-07-04 17:20:54.155528
5,2024-07-02 17:20:54.155528
6,2024-07-04 17:20:54.155528
7,2024-07-01 17:20:54.155528
8,2024-07-02 17:20:54.155528
9,2024-06-28 17:20:54.155528
10,2024-07-01 17:20:54.155528
11,2024-06-30 17:20:54.155528
12,2024-06-29 17:20:54.155528
13,2024-06-29 17:20:54.155528
14,2024-07-05 17:20:54.155528
15,2024-06-28 17:20:54.155528
16,2024-07-05 17:20:54.155528
17,2024-07-06 17:20:54.155528
18,2024-07-03 17:20:54.155528
19,2024-06-28 17:20:54.155528
20,2024-07-04 17:20:54.155528
21,2024-07-02 17:20:54.155528
22,2024-07-06 17:20:54.155528
23,2024-07-04 17:20:54.155528
24,2024-07-02 17:20:54.155528
25,2024-06-29 17:20:54.155528
26,2024-07-01 17:20:54.155528
27,2024-06-29 17:20:54.155528
28,2024-07-06 17:20:54.155528
29,2024-06-29 17:20:54.155528
30,2024-06-29 17:20:54.155528
31,2024-06-29 17:20:54.155528
32,2024-06-28 17:20:54.155528
33,2024-07-06 17:20:54.155528
34,2024-07-05 17:20:54.155528
35,2024-06-29 17:20:54.155528
36,2024-06-29 17:20:54.155528
37,2024-07-02 17:20:54.155528
38,2024-07-01 17:20:54.155528
39,2024-06-29 17:20:54.155528
40,2024-07-05 17:20:54.155528
41,2024-07-05 17:20:54.155528
42,2024-07-01 17:20:54.155528
43,2024-07-01 17:20:54.155528
44,2024-07-06 17:20:54.155528
45,2024-07-01 17:20:54.155528
46,2024-07-06 17:20:54.155528
47,2024-06-30 17:20:54.155528
48,2024-06-29 17:20:54.155528
49,2024-07-05 17:20:54.155528
50,2024-06-30 17:20:54.155528
51,2024-06-29 17:20:54.155528
52,2024-07-05 17:20:54.155528
53,2024-07-05 17:20:54.155528
54,2024-07-02 17:20:54.155528
55,2024-07-06 17:20:54.155528
56,2024-07-03 17:20:54.155528
57,2024-07-02 17:20:54.155528
58,2024-06-30 17:20:54.155528
59,2024-07-04 17:20:54.155528
60,2024-07-06 17:20:54.155528
61,2024-07-01 17:20:54.155528
62,2024-07-04 17:20:54.155528
63,2024-06-30 17:20:54.155528
64,2024-06-29 17:20:54.155528
65,2024-06-28 17:20:54.155528
66,2024-07-03 17:20:54.155528
67,2024-07-02 17:20:54.155528
68,2024-06-29 17:20:54.155528
69,2024-06-30 17:20:54.155528
70,2024-07-06 17:20:54.155528
71,2024-06-30 17:20:54.155528
72,2024-07-04 17:20:54.155528
73,2024-06-28 17:20:54.155528
74,2024-07-04 17:20:54.155528
75,2024-07-06 17:20:54.155528
76,2024-07-05 17:20:54.155528
77,2024-07-04 17:20:54.155528
78,2024-07-05 17:20:54.155528
79,2024-07-01 17:20:54.155528
80,2024-06-29 17:20:54.155528
81,2024-07-06 17:20:54.155528
82,2024-06-30 17:20:54.155528
83,2024-07-01 17:20:54.155528
84,2024-07-04 17:20:54.155528
85,2024-06-29 17:20:54.155528
86,2024-07-05 17:20:54.155528
87,2024-07-05 17:20:54.155528
88,2024-07-02 17:20:54.155528
89,2024-07-06 17:20:54.155528
90,2024-07-05 17:20:54.155528
91,2024-06-28 17:20:54.155528
92,2024-07-06 17:20:54.155528
93,2024-07-02 17:20:54.155528
94,2024-07-06 17:20:54.155528
95,2024-07-06 17:20:54.155528
96,2024-06-30 17:20:54.155528
97,2024-07-05 17:20:54.155528
98,2024-07-04 17:20:54.155528
99,2024-07-04 17:20:54.155528
100,2024-06-29 17:20:54.155528
101,2024-06-29 17:20:54.155528
102,2024-06-29 17:20:54.155528
103,2024-06-29 17:20:54.155528
104,2024-07-01 17:20:54.155528
105,2024-07-04 17:20:54.155528
106,2024-06-29 17:20:54.155528
107,2024-07-02 17:20:54.155528
108,2024-07-04 17:20:54.155528
109,2024-07-06 17:20:54.155528
110,2024-07-05 17:20:54.155528
111,2024-07-06 17:20:54.155528
112,2024-07-04 17:20:54.155528
113,2024-06-30 17:20:54.155528
114,2024-06-28 17:20:54.155528
115,2024-07-04 17:20:54.155528
116,2024-07-03 17:20:54.155528
117,2024-06-29 17:20:54.155528
118,2024-06-28 17:20:54.155528
119,2024-07-01 17:20:54.155528
120,2024-07-01 17:20:54.155528
121,2024-07-03 17:20:54.155528
122,2024-07-02 17:20:54.155528
123,2024-07-06 17:20:54.155528
124,2024-07-05 17:20:54.155528
125,2024-07-06 17:20:54.155528
126,2024-07-04 17:20:54.155528
127,2024-07-06 17:20:54.155528
128,2024-06-30 17:20:54.155528
129,2024-07-06 17:20:54.155528
130,2024-06-29 17:20:54.155528
131,2024-07-06 17:20:54.155528
132,2024-07-03 17:20:54.155528
133,2024-07-01 17:20:54.155528
